Origin,Destination,Equipment Type,Weight,Rate,Trip Distance,Company,Contact Info,Load Requirements,Pickup Date,Delivery Date,Load Type,Age Posted,Extracted At
"Modesto, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,18m,2025-07-16T08:24:33.439Z
"Modesto, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,18m,2025-07-16T08:24:37.605Z
"Ukiah, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,23m,2025-07-16T08:24:41.748Z
"Ukiah, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,23m,2025-07-16T08:24:45.929Z
"Ukiah, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,23m,2025-07-16T08:24:50.068Z
"Ukiah, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,23m,2025-07-16T08:24:54.207Z
"Ukiah, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,24m,2025-07-16T08:24:58.326Z
"Fremont, CAArvada, CO","Arvada, CO",N/A,N/A,"$2,374$1.85*/mi",N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,51m,2025-07-16T08:25:02.487Z
"Ripon, CACheyenne, WY","Cheyenne, WY",N/A,N/A,"$2,600$2.27*/mi",N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,8h,2025-07-16T08:25:06.645Z
"Oakland, CAEaton, CO","Eaton, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,8h,2025-07-16T08:25:10.794Z
"Pleasanton, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,10h,2025-07-16T08:25:14.930Z
"Pittsburg, CAHudson, CO","Hudson, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,11h,2025-07-16T08:25:19.069Z
"Ukiah, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,11h,2025-07-16T08:25:23.185Z
"Linda, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,11h,2025-07-16T08:25:27.328Z
"Healdsburg, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,11h,2025-07-16T08:25:31.463Z
"Windsor, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,11h,2025-07-16T08:25:35.626Z
"Marysville, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,11h,2025-07-16T08:25:39.769Z
"Sparks, NVSeverance, CO","Severance, CO",N/A,N/A,"$2,600$2.59*/mi",N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,16m,2025-07-16T08:25:48.072Z
"Oroville, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,N/A,(628) 236-8343,N/A,N/A,N/A,N/A,24m,2025-07-16T08:25:52.184Z
