Origin,Destination,Equipment Type,Weight,Rate,Trip Distance,Company,Contact Info,Load Requirements,Pickup Date,Delivery Date,Load Type,Age Posted,Extracted At
"Pittsburg, CAHudson, CO","Hudson, CO",N/A,N/A,–,N/A,ATS Logistics/Sureway Transportation Co,(320) 304-6139,N/A,N/A,N/A,N/A,1m,2025-07-16T08:33:53.549Z
"Modesto, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,Uber Freight LLC,(628) 236-8343,N/A,N/A,N/A,N/A,28m,2025-07-16T08:33:55.707Z
"Modesto, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,Uber Freight LLC,(628) 236-8343,N/A,N/A,N/A,N/A,28m,2025-07-16T08:33:57.847Z
"Ukiah, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,33m,2025-07-16T08:33:59.985Z
"Ukiah, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,33m,2025-07-16T08:34:02.128Z
"Ukiah, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,33m,2025-07-16T08:34:04.247Z
"Ukiah, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,33m,2025-07-16T08:34:06.390Z
"Ukiah, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,33m,2025-07-16T08:34:08.510Z
"Fremont, CAArvada, CO","Arvada, CO",N/A,N/A,"$2,374$1.85*/mi",N/A,J B Hunt Transport Inc,(800) 265-4963,N/A,N/A,N/A,N/A,1h,2025-07-16T08:34:10.647Z
"Ripon, CACheyenne, WY","Cheyenne, WY",N/A,N/A,"$2,600$2.27*/mi",N/A,California Freight Sales,N/A,N/A,N/A,N/A,N/A,8h,2025-07-16T08:34:12.765Z
"Oakland, CAEaton, CO","Eaton, CO",N/A,N/A,–,N/A,Big Bird Transportation Inc,N/A,N/A,N/A,N/A,N/A,8h,2025-07-16T08:34:14.910Z
"Pleasanton, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,AMB Logistic,N/A,N/A,N/A,N/A,N/A,10h,2025-07-16T08:34:17.028Z
"Pittsburg, CAHudson, CO","Hudson, CO",N/A,N/A,–,N/A,ATS Logistics/Sureway Transportation Co,N/A,N/A,N/A,N/A,N/A,11h,2025-07-16T08:34:19.146Z
"Ukiah, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,AllBound Logistics LLC,N/A,N/A,N/A,N/A,N/A,11h,2025-07-16T08:34:21.266Z
"Linda, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,AllBound Logistics LLC,N/A,N/A,N/A,N/A,N/A,11h,2025-07-16T08:34:23.408Z
"Healdsburg, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,AllBound Logistics LLC,N/A,N/A,N/A,N/A,N/A,11h,2025-07-16T08:34:25.548Z
"Windsor, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,AllBound Logistics LLC,N/A,N/A,N/A,N/A,N/A,11h,2025-07-16T08:34:27.689Z
"Marysville, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,AllBound Logistics LLC,N/A,N/A,N/A,N/A,N/A,11h,2025-07-16T08:34:29.827Z
"Sparks, NVSeverance, CO","Severance, CO",N/A,N/A,"$2,600$2.59*/mi",N/A,Armstrong Transport Group Inc,N/A,N/A,N/A,N/A,N/A,25m,2025-07-16T08:34:34.151Z
"Oroville, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,33m,2025-07-16T08:34:36.290Z
"Oroville, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,33m,2025-07-16T08:34:38.447Z
"Oroville, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,33m,2025-07-16T08:34:40.585Z
"Oroville, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,33m,2025-07-16T08:34:42.706Z
"Oroville, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,33m,2025-07-16T08:34:44.847Z
"Oroville, CAArvada, CO","Arvada, CO",N/A,N/A,–,N/A,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,33m,2025-07-16T08:34:46.987Z
"Fairfield, CADenver, CO","Denver, CO",N/A,N/A,"$2,600$2.13*/mi",N/A,Venture Connect LLC,N/A,N/A,N/A,N/A,N/A,8h,2025-07-16T08:34:49.148Z
"Fresno, CALoveland, CO","Loveland, CO",N/A,N/A,"$2,800$2.36*/mi",N/A,California Freight Sales,N/A,N/A,N/A,N/A,N/A,8h,2025-07-16T08:34:51.292Z
"Fresno, CALoveland, CO","Loveland, CO",N/A,N/A,"$2,900$2.44*/mi",N/A,California Freight Sales,N/A,N/A,N/A,N/A,N/A,8h,2025-07-16T08:34:53.448Z
"American Cyn, CALittleton, CO","Littleton, CO",N/A,N/A,"$2,700$2.17*/mi",N/A,California Freight Sales,N/A,N/A,N/A,N/A,N/A,8h,2025-07-16T08:34:55.591Z
"Shasta Lake, CADenver, CO","Denver, CO",N/A,N/A,"$2,800$2.24*/mi",N/A,T A Services Inc Formerly Team America Inc,(463) 219-6449,N/A,N/A,N/A,N/A,8h,2025-07-16T08:34:57.732Z
"Tulare, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,Redwood Multimodal,(312) 698-9229,N/A,N/A,N/A,N/A,10h,2025-07-16T08:34:59.870Z
"Fresno, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,Loadsmart Inc,N/A,N/A,N/A,N/A,N/A,10h,2025-07-16T08:35:02.011Z
"Oroville, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,AllBound Logistics LLC,N/A,N/A,N/A,N/A,N/A,11h,2025-07-16T08:35:04.169Z
"Sparks, NVColorado Spgs, CO","Colorado Spgs, CO",N/A,N/A,"$2,500$2.25*/mi",N/A,PLS Logistics Services,(724) 814-5872,N/A,N/A,N/A,N/A,11h,2025-07-16T08:35:06.309Z
"Sacramento, CADenver, CO","Denver, CO",N/A,N/A,–,N/A,Laser Transportation Systems,N/A,N/A,N/A,N/A,N/A,11h,2025-07-16T08:35:08.444Z
