Origin,Destination,Equipment Type,Weight,Rate,Trip Distance,Company,Contact Info,Load Requirements,Pickup Date,Delivery Date,Load Type,Age Posted,Extracted At
"Modesto, CADenver, CO","Denver, CO",V,44k lbs,N/A,53 ft,Uber Freight LLC,(628) 236-8343,N/A,N/A,N/A,Full,14m,2025-07-16T07:59:04.939Z
"Modesto, CADenver, CO","Denver, CO",V,44k lbs,N/A,53 ft,Uber Freight LLC,N/A,N/A,N/A,N/A,Full,14m,2025-07-16T07:59:05.055Z
"Fremont, CAArvada, CO","Arvada, CO",V,22k lbs,"$2,374$1.85*/mi",53 ft,J B Hunt Transport Inc,N/A,N/A,N/A,N/A,Full,25m,2025-07-16T07:59:05.075Z
"Ripon, CACheyenne, WY","Cheyenne, WY",VR,40k lbs,"$2,600$2.27*/mi",53 ft,California Freight Sales,N/A,N/A,N/A,N/A,Full,7h,2025-07-16T07:59:05.093Z
"Oakland, CAEaton, CO","Eaton, CO",V,43k lbs,N/A,53 ft,Big Bird Transportation Inc,N/A,N/A,N/A,N/A,Full,8h,2025-07-16T07:59:05.108Z
"Pleasanton, CADenver, CO","Denver, CO",V,35k lbs,N/A,53 ft,AMB Logistic,N/A,N/A,N/A,N/A,Full,9h,2025-07-16T07:59:05.123Z
"Pittsburg, CAHudson, CO","Hudson, CO",V,40k lbs,N/A,53 ft,ATS Logistics/Sureway Transportation Co,N/A,N/A,N/A,N/A,Full,10h,2025-07-16T07:59:05.138Z
"Ukiah, CADenver, CO","Denver, CO",V,42k lbs,N/A,53 ft,AllBound Logistics LLC,N/A,N/A,N/A,N/A,Full,10h,2025-07-16T07:59:05.153Z
"Linda, CADenver, CO","Denver, CO",V,42k lbs,N/A,53 ft,AllBound Logistics LLC,N/A,N/A,N/A,N/A,Full,10h,2025-07-16T07:59:05.168Z
"Healdsburg, CADenver, CO","Denver, CO",V,42k lbs,N/A,53 ft,AllBound Logistics LLC,N/A,N/A,N/A,N/A,Full,10h,2025-07-16T07:59:05.183Z
"Windsor, CADenver, CO","Denver, CO",V,42k lbs,N/A,53 ft,AllBound Logistics LLC,N/A,N/A,N/A,N/A,Full,10h,2025-07-16T07:59:05.200Z
"Marysville, CADenver, CO","Denver, CO",V,42k lbs,N/A,53 ft,AllBound Logistics LLC,N/A,N/A,N/A,N/A,Full,10h,2025-07-16T07:59:05.217Z
"Sparks, NVSeverance, CO","Severance, CO",V,42k lbs,"$2,600$2.59*/mi",53 ft,Armstrong Transport Group Inc,N/A,N/A,N/A,N/A,Full,50m,2025-07-16T07:59:05.246Z
"Fresno, CALoveland, CO","Loveland, CO",V,43k lbs,"$2,900$2.44*/mi",53 ft,California Freight Sales,N/A,N/A,N/A,N/A,Full,7h,2025-07-16T07:59:05.264Z
"Shasta Lake, CADenver, CO","Denver, CO",V,25k lbs,"$2,800$2.24*/mi",53 ft,T A Services Inc Formerly Team America Inc,N/A,N/A,N/A,N/A,Full,7h,2025-07-16T07:59:05.282Z
"Tulare, CADenver, CO","Denver, CO",V,25k lbs,N/A,53 ft,Redwood Multimodal,N/A,N/A,N/A,N/A,Full,10h,2025-07-16T07:59:05.298Z
"Fresno, CADenver, CO","Denver, CO",V,43k lbs,N/A,53 ft,Loadsmart Inc,N/A,N/A,N/A,N/A,Full,10h,2025-07-16T07:59:05.312Z
"Oroville, CADenver, CO","Denver, CO",V,42k lbs,N/A,53 ft,AllBound Logistics LLC,N/A,N/A,N/A,N/A,Full,10h,2025-07-16T07:59:05.327Z
"Sacramento, CADenver, CO","Denver, CO",V,40k lbs,N/A,53 ft,Laser Transportation Systems,N/A,N/A,N/A,N/A,Full,11h,2025-07-16T07:59:05.341Z
"Sparks, NVSeverance, CO","Severance, CO",V,40k lbs,"$2,600$2.59*/mi",53 ft,FRACHT FWO INC,N/A,N/A,N/A,N/A,Full,11h,2025-07-16T07:59:05.354Z
